KECAMATAN;MSH DIPANTAU-ODP;SELESAI-ODP;MSH DIRAWAT-PDP;SELESAI-PDP;MSH DIRAWAT-POSITIF;SEMBUH;MENINGGAL;TOTAL POSITIF
ANDIR;16;48;9;15;13;1;3;17
ANTAPANI;14;248;17;19;5;1;0;6
ARCAMANIK;9;164;12;14;6;0;4;10
ASTANA ANYAR;1;63;15;11;14;1;1;16
BABAKAN CIPARAY;25;239;11;21;8;4;1;13
BANDUNG KIDUL;6;75;6;7;4;0;1;5
BANDUNG KULON;1;98;16;11;19;0;2;21
BANDUNG WETAN;0;32;4;4;5;2;0;7
BATUNUNGGAL;21;119;16;15;2;2;0;4
BOJONGLOA KALER;13;178;13;9;7;1;2;10
BOJONGLOA KIDUL;0;60;16;8;2;0;1;3
BUAH BATU;14;98;22;10;5;2;1;8
CIBEUNYING KALER;6;82;8;7;4;0;2;6
CIBEUNYING KIDUL;24;172;5;19;5;1;1;7
CIBIRU;5;61;17;9;3;1;1;5
CICENDO;0;51;9;28;19;6;4;29
CIDADAP;1;26;6;11;2;1;0;3
CINAMBO;1;20;4;2;2;0;0;2
COBLONG;9;173;10;18;8;4;0;12
GEDEBAGE;4;60;8;7;4;0;1;5
KIARACONDONG;29;161;32;23;7;2;2;11
LENGKONG;5;107;14;25;3;1;1;5
MANDALAJATI;4;75;10;6;1;0;0;1
PANYILEUKAN;3;81;10;8;0;0;2;2
RANCASARI;7;124;17;9;2;2;0;4
REGOL;1;69;8;9;8;3;2;13
SUKAJADI;2;64;11;14;3;3;0;6
SUKASARI;0;88;8;14;3;0;0;3
SUMUR BANDUNG;5;76;5;7;7;0;2;9
UJUNG BERUNG;12;137;9;18;5;0;0;5
LAINNYA;26;216;0;4;1;0;0;1
