Date;TOTAL;DIRAWAT;SEMBUH;MENINGGAL;LAKI - LAKI;PEREMPUAN;WNI;WNA;K-1;K-2;K-3;K-4;K-5;K-6;K-7;K-8;K-9;Unknown
05/04/2020;47;24;6;17;32;15;47;0;1;0;1;5;6;17;12;3;2;0
06/04/2020;66;35;9;22;45;21;66;0;2;1;3;5;10;22;17;4;2;0
07/04/2020;61;35;8;18;43;18;61;0;1;1;2;5;9;23;15;4;1;0
08/04/2020;62;36;8;18;43;19;62;0;1;1;2;6;9;23;15;4;1;0
09/04/2020;68;40;8;20;47;21;68;0;1;0;2;5;10;26;19;4;1;0
10/04/2020;75;46;8;21;51;24;75;0;1;0;2;7;11;30;19;4;1;0
11/04/2020;75;45;8;22;51;24;75;0;1;0;2;7;11;30;19;4;1;0
12/04/2020;77;46;8;23;53;24;77;0;1;0;2;7;12;30;20;4;1;0
13/04/2020;78;47;8;23;53;25;78;0;1;0;2;7;12;30;21;4;1;0
14/04/2020;92;60;8;24;60;32;91;1;1;0;5;10;12;35;23;5;1;0
15/04/2020;97;65;8;24;62;35;96;1;1;0;5;11;12;37;23;5;3;0
16/04/2020;102;67;10;25;63;39;101;1;1;0;5;13;12;39;24;5;3;0
17/04/2020;125;89;11;25;73;52;123;2;1;0;8;14;14;42;26;5;3;0
18/04/2020;126;88;12;26;74;52;124;2;1;0;8;14;14;43;26;5;3;0
19/04/2020;149;110;13;26;86;63;147;2;1;0;10;15;15;45;28;5;3;27
20/04/2020;152;109;17;26;87;65;150;2;1;0;10;16;15;45;29;6;3;27
21/04/2020;155;111;18;26;90;65;153;2;3;0;10;16;15;46;29;6;3;27
22/04/2020;157;110;20;27;90;67;155;2;3;0;11;17;15;47;30;6;3;25
23/04/2020;168;121;20;27;94;74;166;2;3;0;11;17;16;52;33;7;3;26
24/04/2020;168;121;20;27;94;74;166;2;3;0;15;17;16;51;33;7;3;23
25/04/2020;172;125;20;27;96;76;170;2;3;2;16;18;18;52;34;7;3;19
26/04/2020;208;160;20;28;111;97;206;2;3;2;20;21;21;54;35;7;3;42
27/04/2020;220;172;20;28;116;104;218;2;4;2;23;25;24;65;41;8;3;25
28/04/2020;221;173;20;28;116;105;219;2;4;2;24;25;25;64;41;8;3;25
29/04/2020;225;175;20;30;119;106;223;2;5;3;25;26;29;68;41;8;4;16
30/04/2020;229;176;21;32;121;108;227;2;5;3;25;27;31;69;41;8;4;16
01/05/2020;230;177;21;32;121;109;228;2;5;3;25;27;32;69;41;8;4;16
02/05/2020;234;181;21;32;123;111;232;2;5;3;25;28;32;71;41;9;3;16
03/05/2020;235;181;22;32;123;112;233;2;5;3;25;28;32;72;41;9;4;16
